OBJECTID,FEATURETYPE,DESCRIPTON,CLASS,FACILITY_NAME,FACILITY_OPERATIONALSTATUS,FACILITY_ADDRESS,ABS_SUBURB,FACILITY_STATE,ABS_POSTCODE,FACILITY_ATTRIBUTE_SOURCE,FACILITY_ATTRIBUTE_DATE,FACILITY_SOURCE,FACILITY_DATE,FACILITY_SPATIAL_CONFIDENCE,FACILITY_REVISED,COMMENT,FACILITY_LAT,FACILITY_LONG,VALIDATED,GNAF_BUILDING_NAME,GNAF_ADDRESS_DETAIL_PID,GNAF_FORMATTED_ADDRESS,GNAF_CONFIDENCE,GNAF_POSTCODE,GNAF_SUBURB,DISTANCE_TO_GNAF,GNAF_LAT,GNAF_LONG
4947,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,VARROVILLE,OPERATIONAL,,MINTO,NEW SOUTH WALES,2566,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-34.03966852399998,150.84714385000007,,,,,,,,,,
4948,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,MACARTHUR ZONE RAFT,OPERATIONAL,,MINTO,NEW SOUTH WALES,2566,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-34.03966852399998,150.84714385000007,,,,,,,,,,
4949,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,PENINSULA,OPERATIONAL,,MIRRABOOKA,NEW SOUTH WALES,2264,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-33.10834926599995,151.55322115400008,,,,,,,,,,
4950,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,MIRROOL,OPERATIONAL,,MIRROOL,NEW SOUTH WALES,2665,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-34.30700701799998,147.08861205300002,,,,,,,,,,
4951,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,MOAMA,OPERATIONAL,,MOAMA,NEW SOUTH WALES,2731,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-36.104885329999945,144.75237119700012,,,,,,,,,,
4952,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,MOGRIGUY,OPERATIONAL,,MOGRIGUY,NEW SOUTH WALES,2830,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-32.11489899999998,148.65340000000003,,,,,,,,,,
4953,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,MOLONG,OPERATIONAL,,MOLONG,NEW SOUTH WALES,2866,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-33.09257942499994,148.86072040500005,,,,,,,,,,
4954,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SES FACILITY,MOLONG,OPERATIONAL,,MOLONG,NEW SOUTH WALES,2866,HTTP://SES.NSW.GOV.AU,,HTTP://SES.NSW.GOV.AU,,,,NO GNAF POINT,-33.092529999999954,148.86098000000004,,,,,,,,,,
4955,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,MIDDLE CREEK,OPERATIONAL,,MONGOGARIE,NEW SOUTH WALES,2470,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-28.978454359999944,152.90386876900004,,,,,,,,,,
4956,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,INGEBYRA - MOONBAH,OPERATIONAL,,MOONBAH,NEW SOUTH WALES,2627,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-36.48591806799993,148.58077578000007,,,,,,,,,,
4957,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,MOONEE,OPERATIONAL,,MOONEE BEACH,NEW SOUTH WALES,2450,RURAL FIRE SERVICE,,RURAL FIRE SERVICE,,,,NO GNAF POINT,-30.20925866799996,153.15113636800004,,,,,,,,,,
4958,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,HAWKESBURY RIVER,OPERATIONAL,PEATS FERRY ROAD,MOONEY MOONEY,NEW SOUTH WALES,2083,AMBULANCE SERVICE OF NSW,,AMBULANCE SERVICE OF NSW,,,,NO GNAF POINT,-33.53070799999995,151.19998700000008,,,,,,,,,,
