OBJECTID,FEATURETYPE,DESCRIPTON,CLASS,FACILITY_NAME,FACILITY_OPERATIONALSTATUS,FACILITY_ADDRESS,ABS_SUBURB,FACILITY_STATE,ABS_POSTCODE,FACILITY_ATTRIBUTE_SOURCE,FACILITY_ATTRIBUTE_DATE,FACILITY_SOURCE,FACILITY_DATE,FACILITY_SPATIAL_CONFIDENCE,FACILITY_REVISED,COMMENT,FACILITY_LAT,FACILITY_LONG,VALIDATED,GNAF_BUILDING_NAME,GNAF_ADDRESS_DETAIL_PID,GNAF_FORMATTED_ADDRESS,GNAF_CONFIDENCE,GNAF_POSTCODE,GNAF_SUBURB,DISTANCE_TO_GNAF,GNAF_LAT,GNAF_LONG
1,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,COLLINGWOOD POLICE STATION,OPERATIONAL,,ABBOTSFORD,VICTORIA,3067,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.80404328399993,144.99356788500006,,,GAVIC413094178,4 EDDY COURT,1,3067,ABBOTSFORD,0,-37.80404327999997,144.9935678800001
2,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SES FACILITY,VICSES ESSENDON,OPERATIONAL,,ABERFELDIE,VICTORIA,3040,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.76323400199993,144.90269100400008,,,GAVIC425470053,9 RUTHERFORD STREET,0,3040,ABERFELDIE,0,-37.76323372999997,144.90269078000006
3,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ACHERON FIRE STATION CFA,OPERATIONAL,,ACHERON,VICTORIA,3714,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.25294384099993,145.70617929900004,,,GAVIC422169386,29 MCCOLL LANE,1,3714,ACHERON,8,-37.25288784999998,145.7061154800001
4,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,AIREYS INLET FIRE STATION CFA,OPERATIONAL,,AIREYS INLET,VICTORIA,3231,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-38.45604735899997,144.10443780000003,,,GAVIC419937927,26 PEARSE ROAD,1,3231,AIREYS INLET,11,-38.45598271999995,144.10435070000005
5,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ALBERTON WEST FIRE STATION CFA,OPERATIONAL,,ALBERTON WEST,VICTORIA,3971,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-38.60511582299995,146.58915160900006,,,GAVIC422303407,333 LANES ROAD,0,3971,ALBERTON WEST,9,-38.60519520999998,146.58911666000006
6,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,ALEXANDRA POLICE STATION,OPERATIONAL,,ALEXANDRA,VICTORIA,3714,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.18863455899998,145.70777088900002,,,GAVIC424537965,33 GRANT STREET,1,3714,ALEXANDRA,0,-37.18863454999996,145.70777089000012
7,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SES FACILITY,VICSES ALEXANDRA,OPERATIONAL,,ALEXANDRA,VICTORIA,3714,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.18385400099993,145.709923999,,,GAVIC419830193,7 SHAMROCK STREET,1,3714,ALEXANDRA,1,-37.18385397999998,145.7099294400001
8,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,ALEXANDRA AMBULANCE STATION,OPERATIONAL,,ALEXANDRA,VICTORIA,3714,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.19553763399995,145.71810103300004,,,GAVIC425744480,18 WATTLE STREET,0,3714,ALEXANDRA,105,-37.196019769999964,145.71708855000008
9,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ALEXANDRA FIRE STATION CFA,OPERATIONAL,,ALEXANDRA,VICTORIA,3714,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.183695661999934,145.7093476970001,,,GAVIC420014576,2 SHAMROCK STREET,1,3714,ALEXANDRA,9,-37.18365062999993,145.70926435
10,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SES FACILITY,VICSES BALLARAT,OPERATIONAL,,ALFREDTON,VICTORIA,3350,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.56505600199995,143.816302005,,BALLARAT APEX CLUB,GAVIC423916462,1 ABATTOIR STREET,1,3350,ALFREDTON,0,-37.56505632999995,143.8163017600001
11,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ALLAMBEE FIRE STATION CFA,OPERATIONAL,,ALLAMBEE RESERVE,VICTORIA,3871,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-38.31806200199998,146.04901799800007,,,GAVIC422171947,945 MIRBOO-YARRAGON ROAD,1,3871,ALLAMBEE RESERVE,9,-38.318067749999955,146.04911620000007
12,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ALLANS FLAT FIRE STATION CFA,OPERATIONAL,,ALLANS FLAT,VICTORIA,3691,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-36.278804743999956,146.9169683550001,,,GAVIC423165339,48 GAP FLAT ROAD,0,3691,ALLANS FLAT,11,-36.278891999999985,146.9169220000001
13,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ALLANSFORD FIRE STATION CFA,OPERATIONAL,,ALLANSFORD,VICTORIA,3277,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-38.38625788599995,142.59746316300004,,,GAVIC420252068,61 ZIEGLER PARADE,1,3277,ALLANSFORD,3,-38.38623014999996,142.59746145000008
14,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,KINGSTON SATELLITE FIRE STATION (ALLENDALE) CFA,OPERATIONAL,,ALLENDALE,VICTORIA,3364,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.37106149899995,143.9209422350001,,,GAVIC425015218,3 ELIZABETH STREET,0,3364,ALLENDALE,7,-37.37100743999997,143.92089355000007
15,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ALMONDS FIRE STATION CFA,OPERATIONAL,,ALMONDS,VICTORIA,3727,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-36.21221300299993,146.03155499500008,,,GAVIC422203393,322 WILBY ROAD,0,3727,ALMONDS,27,-36.212438789999965,146.03165748000004
16,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,NORTHCOTE AMBULANCE STATION,OPERATIONAL,,ALPHINGTON,VICTORIA,3078,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.78214399799998,145.02004100500005,,,GAVIC424531315,23-27 AUSTIN STREET,0,3078,ALPHINGTON,0,-37.78214469999995,145.02004093000005
17,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SES FACILITY,VICSES NORTHCOTE,OPERATIONAL,,ALPHINGTON,VICTORIA,3078,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.77753500399996,145.03228299600005,,,GAVIC420343240,2 WINGROVE STREET,2,3078,ALPHINGTON,0,-37.77753458999996,145.0322829900001
18,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",METRO FIRE FACILITY,ALTONA MFB,OPERATIONAL,,ALTONA,VICTORIA,3018,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.864012946999935,144.81718542200008,,,GAVIC421598632,3 AKUNA STREET,2,3018,ALTONA,0,-37.86401274999997,144.81718554000008
19,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SES FACILITY,VICSES HOBSONS BAY,OPERATIONAL,,ALTONA,VICTORIA,3018,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.86383499799996,144.82647300100007,,DEPOT,GAVIC719427810,149-153 CIVIC PARADE,1,3018,ALTONA,17,-37.86381901999994,144.82628117000002
20,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,ALTONA AMBULANCE STATION,OPERATIONAL,,ALTONA NORTH,VICTORIA,3025,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.831168995999974,144.846151995,,,GAVIC421026975,391-397 BLACKSHAWS ROAD,1,3025,ALTONA NORTH,0,-37.831167999999934,144.84615200000007
21,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,ALTONA NORTH POLICE STATION,OPERATIONAL,,ALTONA NORTH,VICTORIA,3025,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.83609189599997,144.84472483000002,,,GAVIC420728108,72 COOPER AVENUE,1,3025,ALTONA NORTH,44,-37.835713529999964,144.84488485000008
22,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,AMPHITHEATRE FIRE STATION CFA,OPERATIONAL,,AMPHITHEATRE,VICTORIA,3468,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.18272799799996,143.39983299900007,,AMPHITHEATRE FIRE STATION,GAVIC424872459,73 BAILEY STREET,1,3468,AMPHITHEATRE,9,-37.18269921999996,143.39974167000003
23,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ANAKIE FIRE STATION CFA,OPERATIONAL,,ANAKIE,VICTORIA,3213,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.91048562999998,144.25442235000003,,,GAVIC424349736,2166 BALLAN ROAD,1,3213,ANAKIE,17,-37.91061248999995,144.25452415000007
24,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,OMEO SATELLITE FIRE STATION (ANGLERS REST) CFA,OPERATIONAL,,ANGLERS REST,VICTORIA,3898,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.00292099699993,147.44202500300003,,,GAVIC424612726,550 CALLAGHANS ROAD,0,3898,ANGLERS REST,1,-37.00291792999997,147.44201987000008
25,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ANGLESEA FIRE STATION CFA,OPERATIONAL,,ANGLESEA,VICTORIA,3230,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-38.40358074799997,144.192204123,,,GAVIC421730297,59 GREAT OCEAN ROAD,1,3230,ANGLESEA,23,-38.40376134999997,144.1920683400001
26,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,ANGLESEA POLICE STATION,OPERATIONAL,,ANGLESEA,VICTORIA,3230,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-38.40339863899993,144.19222814500006,,,GAVIC419961338,55 GREAT OCEAN ROAD,1,3230,ANGLESEA,0,-38.40339863999998,144.1922281400001
27,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,ANGLESEA AMBULANCE STATION,OPERATIONAL,,ANGLESEA,VICTORIA,3230,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-38.40984999899996,144.18456899600005,,SENIOR CITIZENS CLUB,GAVIC420042811,3 MCMILLAN STREET,2,3230,ANGLESEA,0,-38.40984979999996,144.1845692600001
28,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ANNUELLO FIRE STATION CFA,OPERATIONAL,,ANNUELLO,VICTORIA,3549,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-34.854653420999966,142.83365378000008,,,GAVIC424762914,2994 ROBINVALE-SEA LAKE ROAD,0,3549,ANNUELLO,20,-34.854584949999946,142.83345098000007
29,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ANTWERP FIRE STATION CFA,OPERATIONAL,,ANTWERP,VICTORIA,3414,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-36.29761300399997,142.0271590000001,,,GAVIC719313906,12 ANTWERP-WARRACKNABEAL ROAD,0,3414,ANTWERP,67,-36.29775300999995,142.02643581000007
30,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,APOLLO BAY FIRE STATION CFA,OPERATIONAL,,APOLLO BAY,VICTORIA,3233,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-38.75661098499995,143.6682498980001,,,GAVIC414156058,28 PASCOE STREET,1,3233,APOLLO BAY,2,-38.756606329999954,143.66823335000004
31,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,APOLLO BAY AMBULANCE STATION,OPERATIONAL,,APOLLO BAY,VICTORIA,3233,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-38.75392699599996,143.66451900100003,,,GAVIC421178439,6 PENGILLEY AVENUE,2,3233,APOLLO BAY,0,-38.75392727999997,143.66451840000002
32,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,APOLLO BAY POLICE STATION,OPERATIONAL,,APOLLO BAY,VICTORIA,3233,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-38.75966440099995,143.67038159800006,,,GAVIC423973401,31 NELSON STREET,1,3233,APOLLO BAY,0,-38.75966439999996,143.67038160000004
33,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,APPIN SOUTH FIRE STATION CFA,OPERATIONAL,,APPIN SOUTH,VICTORIA,3579,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-35.92550874199998,143.8692782590001,,,GAVIC425335584,1150 APPIN SOUTH ROAD,1,3579,APPIN SOUTH,6,-35.92555367999995,143.86923400000012
34,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,APSLEY POLICE STATION,OPERATIONAL,,APSLEY,VICTORIA,3319,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-36.96706059599995,141.08361854300006,,,GAVIC410750088,17 SPLATT STREET,2,3319,APSLEY,0,-36.96706059999997,141.0836185400001
35,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,APSLEY FIRE STATION CFA,OPERATIONAL,,APSLEY,VICTORIA,3319,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-36.96759598699998,141.08315399700007,,,GAVIC423713106,11 SPLATT STREET,1,3319,APSLEY,12,-36.96768800999996,141.0832226000001
36,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,BRINGALBERT SOUTH FIRE STATION CFA,OPERATIONAL,,APSLEY,VICTORIA,3319,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.002755831999934,141.16011362000006,,,GAVIC425626027,1342 WIMMERA HIGHWAY,1,3319,APSLEY,0,-37.00275524999995,141.16011619000005
37,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,ARARAT AMBULANCE STATION,OPERATIONAL,,ARARAT,VICTORIA,3377,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.278495996999936,142.9313569950001,,,GAVIC423746450,2 BASHAM STREET,0,3377,ARARAT,0,-37.27849613999996,142.93135640000003
38,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,ARARAT POLICE STATION,OPERATIONAL,,ARARAT,VICTORIA,3377,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.28424318899994,142.92672242100002,,,GAVIC421247221,1 LIGAR STREET,1,3377,ARARAT,0,-37.284243189999984,142.92672241000002
39,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SES FACILITY,VICSES ARARAT,OPERATIONAL,,ARARAT,VICTORIA,3377,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.28269400299996,142.93562999900007,,SES DEPOT,GAVIC424447731,85-87 HIGH STREET,0,3377,ARARAT,1,-37.282698479999965,142.9356396600001
40,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ARARAT FIRE STATION CFA,OPERATIONAL,,ARARAT,VICTORIA,3377,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.288362150999944,142.9320109240001,,,GAVIC720347897,8-10 TUSON STREET,0,3377,ARARAT,2,-37.288350589999936,142.93203260000007
41,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ARCADIA FIRE STATION CFA,OPERATIONAL,,ARCADIA,VICTORIA,3631,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-36.563313842999946,145.33307401800005,,,GAVIC420959326,12 MAIN ROAD,1,3631,ARCADIA,4,-36.56327699999997,145.33305785000005
42,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,AREEGRA FIRE STATION CFA,OPERATIONAL,,AREEGRA,VICTORIA,3480,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-36.266124254999966,142.63223768900002,,,GAVIC422187554,1898 RUPANYUP ROAD,1,3480,AREEGRA,4,-36.266100879999954,142.6322012500001
43,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ARTHURS CREEK FIRE STATION CFA,OPERATIONAL,,ARTHURS CREEK,VICTORIA,3099,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.584086345999935,145.20728245200007,,,GAVIC423751439,834 HURSTBRIDGE-ARTHURS CREEK ROAD,1,3099,ARTHURS CREEK,13,-37.58398168999997,145.20721216000004
44,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,ASCOT & DISTRICT FIRE STATION CFA,OPERATIONAL,,ASCOT,VICTORIA,3364,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.39613000099996,143.79933899600007,,ASCOT TENNIS COURTS,GAVIC423700094,47 ASCOT HALL ROAD,0,3364,ASCOT,5,-37.39610253999996,143.79938073000005
45,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,ASHBURTON POLICE STATION,OPERATIONAL,,ASHBURTON,VICTORIA,3147,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.86287427199994,145.07970969100006,,,GAVIC419729327,1 Y STREET,2,3147,ASHBURTON,0,-37.86287399999998,145.0797090000001
46,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,AVENEL FIRE STATION CFA,OPERATIONAL,,AVENEL,VICTORIA,3664,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-36.895689008999966,145.22983039700011,,,GAVIC424761808,16 QUEEN STREET,1,3664,AVENEL,12,-36.89577830999997,145.22976040000003
47,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,AVOCA AMBULANCE STATION,OPERATIONAL,,AVOCA,VICTORIA,3467,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.092608998999935,143.4685340000001,,,GAVIC421869799,5 LIEBIG STREET,1,3467,AVOCA,0,-37.092609299999936,143.4685341500001
48,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,AVOCA POLICE STATION,OPERATIONAL,,AVOCA,VICTORIA,3467,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.08717013699993,143.47409564200007,,AVOCA POLICE STATION,GAVIC425278740,146 HIGH STREET,0,3467,AVOCA,0,-37.087170139999955,143.4740956400001
49,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,AVOCA FIRE STATION CFA,OPERATIONAL,,AVOCA,VICTORIA,3467,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.08859899899994,143.47554200500008,,,GAVIC421496886,90 RUTHERFORD STREET,1,3467,AVOCA,20,-37.08862814999998,143.47532401
50,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,AVONDALE HEIGHTS POLICE STATION,OPERATIONAL,,AVONDALE HEIGHTS,VICTORIA,3034,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.75572978699995,144.85944098400012,,,GAVIC419726700,162 MILITARY ROAD,2,3034,AVONDALE HEIGHTS,0,-37.755728999999974,144.85944000000006
51,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,AXE CREEK FIRE STATION CFA,OPERATIONAL,,AXE CREEK,VICTORIA,3551,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-36.841917760999934,144.3872263730001,,,GAVIC719210052,145 PATONS ROAD,2,3551,AXE CREEK,22,-36.841830519999974,144.38700931000005
52,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",POLICING FACILITY,AXEDALE POLICE STATION,OPERATIONAL,,AXEDALE,VICTORIA,3551,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-36.786992828999985,144.50156785900003,,,GAVIC421311035,86 MCIVOR HIGHWAY,2,3551,AXEDALE,0,-36.786992829999974,144.50156785000001
53,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,AXEDALE FIRE STATION CFA,OPERATIONAL,,AXEDALE,VICTORIA,3551,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-36.785482996999974,144.49967100100002,,,GAVIC425688502,22 SHADFORTH STREET,1,3551,AXEDALE,16,-36.785563449999984,144.4995289300001
54,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",AMBULANCE STATION,BACCHUS MARSH AMBULANCE STATION,OPERATIONAL,,BACCHUS MARSH,VICTORIA,3340,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.67641900099994,144.44323600000007,,,GAVIC421556719,230 MAIN STREET,1,3340,BACCHUS MARSH,3,-37.67642361999998,144.44327168000007
55,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",RURAL/COUNTRY FIRE SERVICE FACILITY,BACCHUS MARSH FIRE STATION CFA,OPERATIONAL,,BACCHUS MARSH,VICTORIA,3340,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.675613003999956,144.43438199600007,,BACCHUS MARSH FIRE STATION,GAVIC424242032,93-95 MAIN STREET,0,3340,BACCHUS MARSH,7,-37.67556324999998,144.43433770000001
56,EMERGENCY FACILITY,"An emergency management facility from which a particular agency’s resources are commanded, coordinated and assigned to an incident or emergency",SES FACILITY,VICSES BACCHUS MARSH,OPERATIONAL,,BACCHUS MARSH,VICTORIA,3340,HTTP://DATA.VIC.GOV.AU,,HTTP://DATA.VIC.GOV.AU,,,,,-37.674763997999946,144.43539600500003,,,GAVIC423827672,11 GISBORNE ROAD,0,3340,BACCHUS MARSH,0,-37.67476432999996,144.43539625000005
